id,name,lat,long,nbDocks
386,"Moor Street, Soho",51.51352755,-0.130110822,16
387,"Fire Brigade Pier, Vauxhall",51.49369988,-0.121394101,30
388,"Southampton Street, Strand",51.51070161,-0.121723604,14
389,"Upper Grosvenor Street, Mayfair",51.51013066,-0.155757901,18
390,"Buxton Street 1, Shoreditch",51.521776,-0.068856,41
392,"Imperial College, Knightsbridge",51.49942855,-0.179702476,21
393,"Snow Hill, Farringdon",51.51733427,-0.103604248,15
394,"Aberdeen Place, St. John's Wood",51.524826,-0.176268,18
395,"Cadogan Gardens, Chelsea",51.492462,-0.159919,15
396,"Shouldham Street, Marylebone",51.51809,-0.163609,16
397,"Devonshire Terrace, Bayswater",51.51348,-0.17977,16
398,"Holland Park, Kensington",51.502319,-0.200742,30
399,"Brick Lane Market, Shoreditch",51.52261762,-0.071653961,24
400,"George Street, Marylebone",51.517703,-0.154106,26
401,"Columbia Road, Shoreditch",51.528187,-0.075375,24
402,"Penfold Street, Marylebone",51.52289229,-0.171681991,15
403,"George Place Mews, Marylebone",51.51689296,-0.158249929,16
404,"Palace Gate, Kensington Gardens",51.50204238,-0.184400221,13
405,"Gloucester Road Station, South Kensington",51.49418566,-0.18267094,15
408,"Paddington Green Police Station, Paddington",51.51994326,-0.170704337,40
409,"Strata, Elephant & Castle",51.493146,-0.099828,41
410,"Edgware Road Station, Marylebone",51.519968,-0.169774,64
411,"Walworth Road, Elephant & Castle",51.49337264,-0.09968067,33
412,"Cleaver Street, Kennington",51.488105,-0.110121,17
419,"Chelsea Bridge, Pimlico",51.485821,-0.149004,15
420,"Southwark Station 1, Southwark",51.504043,-0.105312,37
421,"Southwark Station 2, Southwark",51.504044,-0.104778,45
423,"Eaton Square (South), Belgravia",51.49456127,-0.15393398,31
424,"Ebury Bridge, Pimlico",51.490491,-0.149186,29
425,"Harrington Square 2, Camden Town",51.533379,-0.139159,38
426,"Vincent Street, Pimlico",51.493072,-0.129925,17
427,"Cheapside, Bank",51.51397065,-0.09294031,43
428,"Exhibition Road, Knightsbridge",51.499917,-0.174554,20
430,"South Parade, Chelsea",51.48902,-0.17524,18
431,"Crinan Street, King's Cross",51.534474,-0.122203,20
432,"Exhibition Road Museums, South Kensington",51.496957,-0.173894,22
433,"Wren Street, Holborn",51.524564,-0.116279,33
435,"Kennington Station, Kennington",51.488852,-0.105593,23
436,"Red Lion Street, Holborn",51.51824,-0.11655,35
437,"Vauxhall Walk, Vauxhall",51.488124,-0.120903,27
439,"Killick Street, King's Cross",51.5338,-0.118677,22
440,"Kennington Oval, Oval",51.483145,-0.113134,33
441,"Sail Street, Vauxhall",51.495656,-0.114605,24
442,"Walmer Road, Avondale",51.510101,-0.211358,24
443,"Philpot Street, Whitechapel",51.515256,-0.058641,30
444,"Bethnal Green Garden, Bethnal Green",51.52568,-0.055312,24
445,"Cheshire Street, Bethnal Green",51.52388,-0.065076,28
446,"York Hall, Bethnal Green",51.528936,-0.055894,27
447,"Jubilee Crescent, Cubitt Town",51.493381,-0.007542,54
448,"Fisherman's Walk West, Canary Wharf",51.50623,-0.02296,36
449,"Shadwell Station, Shadwell",51.511088,-0.057159,35
450,"Jubilee Street, Stepney",51.515975,-0.053177,28
451,"Hermitage Court, Wapping",51.504719,-0.063531,16
452,"St. Katharine's Way, Tower",51.505697,-0.070542,24
453,"Garnet Street, Shadwell",51.508447,-0.055167,24
454,"Napier Avenue, Millwall",51.487679,-0.021582,20
455,"East Ferry Road, Cubitt Town",51.49447,-0.014409,17
456,"Parkway, Camden Town",51.538071,-0.144664,33
457,"Castlehaven Road, Camden Town",51.542138,-0.145393,29
458,"Wapping Lane, Wapping",51.504749,-0.057544,28
459,"Gunmakers Lane, Old Ford",51.535179,-0.03338,17
460,"Burdett Road, Mile End",51.516196,-0.029138,33
462,"Bonny Street, Camden Town",51.541603,-0.138853,45
463,"Thurtle Road, Haggerston",51.534776,-0.071881,22
464,"St. Mary & St. Michael Church, Stepney",51.51417,-0.052099,25
465,"Pitfield Street North,Hoxton",51.53558,-0.08249,28
466,"Whiston Road, Haggerston",51.534464,-0.076341,21
467,"Southern Grove, Bow",51.523538,-0.030556,17
468,"Cantrell Road, Bow",51.521564,-0.022694,24
469,"Lindfield Street, Poplar",51.513757,-0.020467,44
470,"Mostyn Grove, Bow",51.530535,-0.025492,46
471,"Hewison Street, Old Ford",51.533283,-0.028155,19
472,"Malmesbury Road, Bow",51.529452,-0.027616,21
473,"Millharbour, Millwall",51.496137,-0.019355,19
474,"Castalia Square, Cubitt Town",51.498125,-0.011457,39
475,"Lightermans Road, Millwall",51.499041,-0.020157,57
