,dt_iso,temp,humidity,wind_speed,clouds_all
421,2016-06-05 10:00:00,287.54,87,3,20
423,2016-06-05 11:00:00,289.16,82,3,20
424,2016-06-05 12:00:00,290.54,77,3,0
425,2016-06-05 13:00:00,292.17,72,3,20
426,2016-06-05 14:00:00,294.03,64,3,20
427,2016-06-05 15:00:00,294.78,60,2,20
428,2016-06-05 16:00:00,295.71,56,3,20
429,2016-06-05 17:00:00,296.11,53,4,0
430,2016-06-05 18:00:00,296.13,60,4,0
431,2016-06-05 19:00:00,295.81,68,5,0
432,2016-06-05 20:00:00,294.71,68,4,0
433,2016-06-05 21:00:00,292.07,72,4,0
434,2016-06-05 22:00:00,290.21,82,4,0
435,2016-06-05 23:00:00,288.73,87,4,0
436,2016-06-06 00:00:00,287.16,87,5,0
437,2016-06-06 01:00:00,286.2,87,3,0
438,2016-06-06 02:00:00,285.28,87,3,0
439,2016-06-06 03:00:00,284.65,93,3,0
440,2016-06-06 04:00:00,284.33,93,2,0
441,2016-06-06 05:00:00,283.73,87,2,0
442,2016-06-06 06:00:00,283.62,87,2,12
445,2016-06-06 07:00:00,283.82,87,3,75
447,2016-06-06 08:00:00,285.4,87,4,75
449,2016-06-06 09:00:00,287.68,76,4,0
450,2016-06-06 10:00:00,290.09,71,4,0
451,2016-06-06 11:00:00,291.85,63,4,0
452,2016-06-06 12:00:00,293.83,59,4,0
453,2016-06-06 13:00:00,294.59,56,4,0
454,2016-06-06 14:00:00,296.15,60,5,0
455,2016-06-06 15:00:00,296.29,68,4,0
456,2016-06-06 16:00:00,296.98,52,3,0
457,2016-06-06 17:00:00,296.37,46,5,0
458,2016-06-06 18:00:00,296.42,40,5,0
459,2016-06-06 19:00:00,295.48,37,5,0
460,2016-06-06 20:00:00,294.03,45,4,0
461,2016-06-06 21:00:00,291.49,59,4,0
462,2016-06-06 22:00:00,289.46,72,4,0
463,2016-06-06 23:00:00,287.89,82,4,0
464,2016-06-07 00:00:00,287.1,76,3,0
465,2016-06-07 01:00:00,286.15,76,3,0
466,2016-06-07 02:00:00,285.24,82,3,0
467,2016-06-07 03:00:00,284.6,82,2,0
468,2016-06-07 04:00:00,284.22,82,2,0
469,2016-06-07 05:00:00,284.08,76,1,0
470,2016-06-07 06:00:00,284.15,76,2,20
471,2016-06-07 07:00:00,285.94,76,1,0
472,2016-06-07 08:00:00,288.07,76,1,0
473,2016-06-07 09:00:00,290.47,72,1,0
474,2016-06-07 10:00:00,292.29,68,1,0
475,2016-06-07 11:00:00,294.41,64,2,0
476,2016-06-07 12:00:00,295.56,64,3,0
477,2016-06-07 13:00:00,296.36,64,2,20
478,2016-06-07 14:00:00,296.24,60,3,20
479,2016-06-07 15:00:00,296.03,64,3,75
481,2016-06-07 16:00:00,294.96,77,2,75
483,2016-06-07 17:00:00,294.27,82,1,40
485,2016-06-07 18:00:00,294.49,73,1,40
487,2016-06-07 19:00:00,294.04,82,2,0
489,2016-06-07 20:00:00,293.24,77,2,0
490,2016-06-07 21:00:00,292.13,77,3,0
492,2016-06-07 22:00:00,291.02,72,3,0
493,2016-06-07 23:00:00,290.38,48,3,92
495,2016-06-08 00:00:00,289.58,59,2,92
497,2016-06-08 01:00:00,289.04,59,2,92
499,2016-06-08 02:00:00,288.85,63,1,92
501,2016-06-08 03:00:00,288.35,67,1,68
503,2016-06-08 04:00:00,288.35,72,2,68
506,2016-06-08 05:00:00,288.01,82,1,68
508,2016-06-08 06:00:00,288.08,87,1,44
510,2016-06-08 07:00:00,288.61,87,2,20
514,2016-06-08 08:00:00,289.79,88,1,44
517,2016-06-08 09:00:00,291.06,82,1,0
520,2016-06-08 10:00:00,292.28,88,1,0
523,2016-06-08 11:00:00,293.97,64,2,0
525,2016-06-08 12:00:00,294.77,64,2,0
526,2016-06-08 13:00:00,296.9,77,1,12
527,2016-06-08 14:00:00,298.02,64,1,12
528,2016-06-08 15:00:00,297.69,65,2,80
529,2016-06-08 16:00:00,296.17,50,0,80
530,2016-06-08 17:00:00,295.48,89,2,80
531,2016-06-08 18:00:00,294.96,92,0,36
532,2016-06-08 19:00:00,293.6,87,3,36
533,2016-06-08 20:00:00,292.55,85,3,36
534,2016-06-08 21:00:00,290.97,85,2,0
535,2016-06-08 22:00:00,289.44,74,0,0
536,2016-06-08 23:00:00,287.92,84,1,0
537,2016-06-09 00:00:00,286.86,92,1,0
538,2016-06-09 01:00:00,286.33,96,1,0
539,2016-06-09 02:00:00,286.43,95,0,0
540,2016-06-09 03:00:00,286.1,95,0,12
541,2016-06-09 04:00:00,285.86,94,0,12
542,2016-06-09 05:00:00,285.64,92,0,12
543,2016-06-09 06:00:00,285.46,91,1,0
544,2016-06-09 07:00:00,285.19,90,1,0
545,2016-06-09 08:00:00,285.81,85,1,0
546,2016-06-09 09:00:00,286.67,82,1,0
547,2016-06-09 10:00:00,288.55,73,1,0
548,2016-06-09 11:00:00,290.6,65,1,0
549,2016-06-09 12:00:00,292.02,55,0,0
550,2016-06-09 13:00:00,293.54,55,1,0
551,2016-06-09 14:00:00,294.55,52,1,0
552,2016-06-09 15:00:00,295.07,48,0,24
553,2016-06-09 16:00:00,295.62,42,1,24
554,2016-06-09 17:00:00,295.6,45,0,0
555,2016-06-09 18:00:00,295.14,51,0,12
556,2016-06-09 19:00:00,294.58,53,0,12
557,2016-06-09 20:00:00,292.52,61,0,12
558,2016-06-09 21:00:00,291.58,65,1,44
559,2016-06-09 22:00:00,288.73,73,0,44
560,2016-06-09 23:00:00,287.66,79,0,44
561,2016-06-10 00:00:00,287.1,82,2,44
562,2016-06-10 01:00:00,286.49,91,0,44
563,2016-06-10 02:00:00,285.83,93,2,44
564,2016-06-10 03:00:00,285.32,94,1,32
565,2016-06-10 04:00:00,284.81,92,1,32
566,2016-06-10 05:00:00,284.9,91,1,32
567,2016-06-10 06:00:00,285.62,92,1,80
568,2016-06-10 07:00:00,286.35,89,1,80
569,2016-06-10 08:00:00,287.94,78,1,80
570,2016-06-10 09:00:00,289.66,58,0,80
571,2016-06-10 10:00:00,291.09,52,0,80
572,2016-06-10 11:00:00,292.32,41,0,80
573,2016-06-10 12:00:00,293.99,37,1,88
574,2016-06-10 13:00:00,295.84,35,1,88
575,2016-06-10 14:00:00,296.47,36,1,88
576,2016-06-10 15:00:00,296.93,32,0,64
577,2016-06-10 16:00:00,297.06,33,0,64
578,2016-06-10 17:00:00,296.48,33,1,92
579,2016-06-10 18:00:00,295.28,41,0,92
580,2016-06-10 19:00:00,293.17,45,0,92
581,2016-06-10 20:00:00,292.71,51,1,92
582,2016-06-10 21:00:00,291.39,56,0,88
583,2016-06-10 22:00:00,289.85,63,0,88
584,2016-06-10 23:00:00,289.13,69,1,88
585,2016-06-11 00:00:00,289.06,76,0,88
586,2016-06-11 01:00:00,288.82,74,0,88
587,2016-06-11 02:00:00,288.01,84,0,88
588,2016-06-11 03:00:00,287.83,76,1,92
589,2016-06-11 04:00:00,287.41,80,1,92
590,2016-06-11 05:00:00,287.01,81,1,92
591,2016-06-11 06:00:00,287.15,83,1,80
592,2016-06-11 07:00:00,287.87,83,1,80
593,2016-06-11 08:00:00,289.8,77,1,80
594,2016-06-11 09:00:00,291.56,67,0,56
595,2016-06-11 10:00:00,293.64,66,1,56
596,2016-06-11 11:00:00,294.8,57,1,56
597,2016-06-11 12:00:00,295.71,54,0,56
598,2016-06-11 13:00:00,296.92,53,0,56
599,2016-06-11 14:00:00,296.64,53,1,56
600,2016-06-11 15:00:00,296.12,81,3,68
601,2016-06-11 16:00:00,295.13,84,0,68
602,2016-06-11 17:00:00,292.53,78,0,80
603,2016-06-11 18:00:00,292.36,68,0,88
604,2016-06-11 19:00:00,291.95,67,0,88
605,2016-06-11 20:00:00,291.51,75,0,88
606,2016-06-11 21:00:00,290.4,85,0,92
607,2016-06-11 22:00:00,289.71,90,1,92
608,2016-06-11 23:00:00,289.48,92,1,92
609,2016-06-12 00:00:00,289.1,91,1,80
610,2016-06-12 01:00:00,289.11,89,0,80
611,2016-06-12 02:00:00,288.8,91,0,80
612,2016-06-12 03:00:00,288.48,90,0,48
613,2016-06-12 04:00:00,287.94,90,0,48
614,2016-06-12 05:00:00,287.53,91,1,48
615,2016-06-12 06:00:00,287.48,93,0,92
616,2016-06-12 07:00:00,288.17,87,0,92
617,2016-06-12 08:00:00,288.9,79,0,92
618,2016-06-12 09:00:00,289.06,82,0,92
619,2016-06-12 10:00:00,288.6,84,0,92
620,2016-06-12 11:00:00,289.35,85,0,92
621,2016-06-12 12:00:00,289.53,90,1,92
622,2016-06-12 13:00:00,289.62,92,0,92
623,2016-06-12 14:00:00,289.51,90,0,92
624,2016-06-12 15:00:00,290.18,88,2,68
625,2016-06-12 16:00:00,292.27,78,1,68
626,2016-06-12 17:00:00,293.42,72,1,92
627,2016-06-12 18:00:00,293.17,76,0,92
628,2016-06-12 19:00:00,292.56,79,1,92
629,2016-06-12 20:00:00,292.14,77,0,92
630,2016-06-12 21:00:00,291.11,82,1,88
631,2016-06-12 22:00:00,289.25,85,0,88
632,2016-06-12 23:00:00,288.65,86,0,88
633,2016-06-13 00:00:00,288.19,86,0,92
634,2016-06-13 01:00:00,288.45,85,3,92
635,2016-06-13 02:00:00,288.02,89,3,92
636,2016-06-13 03:00:00,287.89,91,0,92
637,2016-06-13 04:00:00,287.15,92,0,92
638,2016-06-13 05:00:00,286.85,94,0,92
639,2016-06-13 06:00:00,286.99,95,0,92
640,2016-06-13 07:00:00,287.84,94,0,92
641,2016-06-13 08:00:00,288.81,91,1,92
642,2016-06-13 09:00:00,289.85,81,1,88
643,2016-06-13 10:00:00,290.09,80,1,88
644,2016-06-13 11:00:00,290.69,87,0,88
645,2016-06-13 12:00:00,290.51,90,1,76
646,2016-06-13 13:00:00,290.78,83,0,76
647,2016-06-13 14:00:00,291.08,76,0,76
648,2016-06-13 15:00:00,290.89,73,1,56
649,2016-06-13 16:00:00,290.81,65,1,56
650,2016-06-13 17:00:00,290.7,68,1,92
651,2016-06-13 18:00:00,290.38,67,0,44
652,2016-06-13 19:00:00,290.53,67,1,44
653,2016-06-13 20:00:00,290.17,66,0,44
654,2016-06-13 21:00:00,289.28,83,2,44
655,2016-06-13 22:00:00,288.63,89,2,44
656,2016-06-13 23:00:00,288.57,82,0,44
657,2016-06-14 00:00:00,288.46,86,0,92
658,2016-06-14 01:00:00,288.1,90,0,92
659,2016-06-14 02:00:00,288.01,94,0,92
660,2016-06-14 03:00:00,287.36,95,0,92
661,2016-06-14 04:00:00,287.09,95,0,92
662,2016-06-14 05:00:00,286.65,95,3,92
663,2016-06-14 06:00:00,286.86,95,0,92
664,2016-06-14 07:00:00,287.47,93,0,92
665,2016-06-14 08:00:00,288.11,91,0,92
666,2016-06-14 09:00:00,288.47,88,0,68
667,2016-06-14 10:00:00,289.5,79,0,68
668,2016-06-14 11:00:00,289.84,79,0,68
669,2016-06-14 12:00:00,290.6,72,2,92
670,2016-06-14 13:00:00,290.15,75,0,92
671,2016-06-14 14:00:00,290.32,86,0,92
672,2016-06-14 15:00:00,292.19,70,2,92
673,2016-06-14 16:00:00,291.2,66,1,92
674,2016-06-14 17:00:00,290.34,73,2,88
675,2016-06-14 18:00:00,290.46,73,1,80
676,2016-06-14 19:00:00,290.79,75,0,80
677,2016-06-14 20:00:00,290.3,74,1,80
678,2016-06-14 21:00:00,289.29,75,2,80
679,2016-06-14 22:00:00,288.04,75,1,80
680,2016-06-14 23:00:00,287.34,82,1,80
681,2016-06-15 00:00:00,286.66,86,0,88
682,2016-06-15 01:00:00,286.12,86,0,88
683,2016-06-15 02:00:00,285.84,92,0,88
684,2016-06-15 03:00:00,285.5,92,0,80
685,2016-06-15 04:00:00,284.84,91,0,80
686,2016-06-15 05:00:00,284.57,91,0,80
687,2016-06-15 06:00:00,285.13,91,0,76
688,2016-06-15 07:00:00,286.42,92,0,76
689,2016-06-15 08:00:00,288.95,66,0,76
690,2016-06-15 09:00:00,290.81,70,1,88
691,2016-06-15 10:00:00,291.12,51,1,88
692,2016-06-15 11:00:00,292.13,57,1,88
693,2016-06-15 12:00:00,292.64,49,1,80
694,2016-06-15 13:00:00,293.35,51,0,80
695,2016-06-15 14:00:00,292.15,61,1,80
696,2016-06-15 15:00:00,291.91,67,1,92
697,2016-06-15 16:00:00,292.75,63,1,92
698,2016-06-15 17:00:00,293.71,62,1,92
699,2016-06-15 18:00:00,293.1,74,2,92
700,2016-06-15 19:00:00,290.11,74,2,92
701,2016-06-15 20:00:00,290.09,58,1,48
702,2016-06-15 21:00:00,289.04,62,1,80
703,2016-06-15 22:00:00,287.79,72,0,80
704,2016-06-15 23:00:00,287.21,83,3,80
705,2016-06-16 00:00:00,286.9,88,0,64
706,2016-06-16 01:00:00,286.43,90,0,64
707,2016-06-16 02:00:00,286.25,91,0,64
708,2016-06-16 03:00:00,286.01,93,3,0
709,2016-06-16 04:00:00,286.09,93,3,0
710,2016-06-16 05:00:00,285.75,93,3,0
711,2016-06-16 06:00:00,286.02,93,2,0
712,2016-06-16 07:00:00,286.87,94,0,0
713,2016-06-16 08:00:00,287.79,78,2,0
714,2016-06-16 09:00:00,289.12,80,0,20
715,2016-06-16 10:00:00,289.13,87,0,20
716,2016-06-16 11:00:00,289.84,82,2,20
717,2016-06-16 12:00:00,292.13,72,0,76
718,2016-06-16 13:00:00,291.93,63,0,76
719,2016-06-16 14:00:00,291.37,79,1,76
720,2016-06-16 15:00:00,292.36,72,1,80
721,2016-06-16 16:00:00,294.02,61,1,80
722,2016-06-16 17:00:00,293.47,52,0,68
723,2016-06-16 18:00:00,292.37,64,2,92
724,2016-06-16 19:00:00,291.74,70,2,92
725,2016-06-16 20:00:00,290.48,79,2,92
726,2016-06-16 21:00:00,289.01,85,1,32
727,2016-06-16 22:00:00,288.1,91,1,32
728,2016-06-16 23:00:00,287.36,94,1,32
729,2016-06-17 00:00:00,287.04,95,1,24
730,2016-06-17 01:00:00,286.46,97,1,24
731,2016-06-17 02:00:00,286.31,97,1,24
732,2016-06-17 03:00:00,286.62,98,1,20
